Track Number,Song Title,Album,Artist,Release Date,Lyrics
10,End Game,This is Not a Safe Place,Ride,16-Aug-19,"2 ContributorsEnd Game Lyrics Looking back when I try to remember Looking back when I try to remember I thought that we had something I thought that we had something Looking back when I try to remember Looking back when I try to remember I thought that we had something I thought that we had something But you are looking at a different picture Of two parties but only one victor If that's the game, of course we can play it Forever changed, that's a shame to say it The end game brings me no pleasure It's served cold and it's served forever That's the way it's got to be You've killed yourself stone dead to me Looking back when I try to remember Looking back when I try to remember I thought that we had something I thought that we had something Looking back when I try to remember Looking back when I try to remember I thought that we had something I thought that we had something See Ride LiveGet tickets as low as $54You might also like What went wrong? What is wrong with you? What went wrong? What is wrong with you? What went wrong? What is wrong with you? What went wrong? What is wrong with you? What went wrong? What is wrong with you? What went wrong? What is wrong with you? What went wrong? What is wrong with you? What went wrong? What is wrong, wrong with you? Looking back when I try to remember Looking back when I try to remember I thought that we had something I thought that we had something I thought that we had something I thought that we had something I thought that we had something I thought that we had somethingEmbed"
11,Shadows Behind the Sun,This is Not a Safe Place,Ride,16-Aug-19,2 ContributorsShadows Behind the Sun Lyrics Living in these shadows I can't live there anymore The once high Falling so far Those words are always with me My brothers in the dark Friends or foes I can't tell them apart Mistaken identities And my old me is killing me This world breaks everybody now At the broken places be strong Many words without voices Echoes more that's lost than won In the shadows behind the sun Words go way beyond me I can't them anymore Words fail me And all I've lived for Those voices always with me My sisters in the dark Commotions in oceans Tears it all apart See Ride LiveGet tickets as low as $54You might also like Mistaken identities And my old me is killing me This world breaks everybody now At the broken places be strong Many words without voices Echoes more that's lost than won In the shadows behind the sun Only shadows behind the sun In the shadows behind the sun Only shadows behind the sunEmbed
12,In This Room,This is Not a Safe Place,Ride,16-Aug-19,"3 ContributorsIn This Room Lyrics Everything has been leading here I always wanted to be In this room How they come and go and I want to know What they know In this room You and I are dominoes Collapse one at a time In this room And I started to understand What it really means to be In this room This is not a safe place to be You didn't think it was When you lined up to sign your name This is not a safe place to be And no one cares If raving and drowning do look the same So I see them all arrive All of them promising the world In this room Taking the game for all it's got Before or snatches back the lot In this room I'm not exactly a fly on the wall Or anything at all In this room I turn up, turn it on Try to play in tune On this song See Ride LiveGet tickets as low as $54You might also like This is not a safe place to be You didn't think it was When you lined up to sign your name This is not a safe place to be And no one cares If raving and drowning do look the sameEmbed"
1,Lannoy Point,Weather Diaries,Ride,16-Jun-17,4 ContributorsLannoy Point LyricsIf seeing is believing Believing is not seeing All these feelings I can't repair Your way of seeing All melts into air A Face of reason equals treason A treason against all reason All this dealing I can't repair My way of being All melts into air I'm wiser for the time I row against the tide I drop onto my knees All turned back a century We'll be wiser when we fall Like the dinosaurs before When we've swept ourselves away A better sense can start again A better sense can start again A better sense can start again See Ride LiveGet tickets as low as $54You might also likeI'm wiser for the time I roll against the tide I drop to my knees All to that good century We'll be wiser when we fall Like the dinosaurs before When we've swept ourselves away A better sense can start again (Believing my feelings) A better sense can start again (Believing all my feelings) A better sense can start again (Believing all my feelings) A better sense can start again (Believing all my feelings) A better sense can start again A better sense can start again3Embed
2,Charm Assault,Weather Diaries,Ride,16-Jun-17,3 ContributorsCharm Assault Lyrics Focused raw reptilian ambition From the dark side where it's all a game As the pieces move into position Did you feel a flicker in your brain? Charm assault Get out of my brain You can't leave but The truth will always remain Your charm assault Has scarred the world It looks so ugly As your lies begin to unfurl Acid sweating hunchback apparition Privilege abused at every turn Serious as a heart attack he's standing He sets fire to your world and lets it burn Charm assault Get out of my brain You can't leave but The truth will always remain Your charm assault Has scarred the world It looks so ugly As your lies begin to unfurl See Ride LiveGet tickets as low as $54You might also like Charm assault Get out of my brain You can't leave but The truth will always remain Your charm assault Has scarred the world It looks so ugly As your lies begin to unfurl Charm assault Get out of my brain You can't leave but The truth will always remain Your charm assault Has scarred the world It looks so ugly As your lies begin to unfurlEmbed
3,All I Want,Weather Diaries,Ride,16-Jun-17,"5 ContributorsAll I Want Lyrics There is a ill wind blowing Maybe you feel it too Strange people are on the rise One day they're gonna come for you (All I want) (All I want is) (All I want) (All I want is) While you were sleeping on it Your future was torn from under you It's not a pretty picture This is 1932 (All I want is) (All I want is) All I want is to leave this time (All I want is) Believe me (All I want is) All I want is to leave this time I can't feel how you want me to feel I can't know what you want me to know All I want is, all I want is I can't be what you want me to be I can't go where you want me to go All I want is, all I want is See Ride LiveGet tickets as low as $54You might also like (All I want is) All I want is to leave this time (All I want is) Believe me (All I want is) All I want is to leave this time (All I want is) All I want is to leave this time (All I want is) Believe me (All I want) All I want is to leave this time I can't feel how you want me to feel I can't know what you want me to know All I want is, all I want is I can't be what you want me to be I can't go where you want me to go All I want is, all I want isEmbed"
4,Home Is A Feeling,Weather Diaries,Ride,16-Jun-17,"3 ContributorsHome Is A Feeling LyricsHome is a feeling, warm like the sun Inside everyone needs a safe place to run Run to the morning, faster than the sun Someone is there waiting, yes, she's the one Washed by the warm tide, dried by the sunrise It's time to open your eyes to a feeling, feeling To a feeling Home in the morning, first light of dawn I love that feeling, feeling, feeling Feeling Feeling FeelingSee Ride LiveGet tickets as low as $54You might also likeEmbed"
5,Weather Diaries,Weather Diaries,Ride,16-Jun-17,"4 ContributorsWeather Diaries Lyrics So it rained that day The day I gave it all away And I never thought it would When the morning looked so good It seems you never know Which direction life will blow You never know what someone's thinking Until they're just about to go I'm unsettled by the weather It's getting stranger Should it be this good right now? Are we in some kind of danger? Is this atmosphere just me- Or is the sky too blue? It's too perfect Something's got to give I'm going under, Where are you? And it rained today Conspiracy or one more anomaly? When I was younger it was simple We didn't need to question everything See Ride LiveGet tickets as low as $54You might also like It seems you never know Which direction life will blow You never know what someone's thinking Until they're just about to go I'm unsettled by the weather It's getting stranger Should it be this good right now? Are we in some kind of danger? Is this atmosphere just me? Or is the sky too blue? It's too perfect Something's got to give I'm going under Where are you? 3Embed"
6,Rocket Silver Symphony,Weather Diaries,Ride,16-Jun-17,"3 ContributorsRocket Silver Symphony LyricsSun is up and the day goes right for me I'm moving up in a way that's rightfully Ringing out yeah, your day calls out to me I'm moving up, can't contain the light I see All around me the air sings infinity Chin is up and the scene is on to me Coffee cup and I'm sailing out to sea I'm moving up in a way that seems to be Fired from my mind Like a silver symphony Out of my mind, rocket silver symphony All around me the air sings a melody Chin is up, so the scene belongs to me Something's up in a way that is rightfully Rocket silver, so clean and clear to see Here it come's like a silver symphony Fired from my mind Like a silver symphony Out of my mind, rocket silver symphony Fired from my mind Like a silver symphonySee Ride LiveGet tickets as low as $54You might also likeEmbed"
7,Lateral Alice,Weather Diaries,Ride,16-Jun-17,"6 ContributorsLateral Alice LyricsI had a dream that we went walking David Foster Wallace and I In great detail we were talking The Pale King smiled as he kissed the sky Waiting for the storm to pass Waiting around with Lateral Alice Waking up in another town This is what I remember I had a dream we were surfing Robert Anton Wilson and I Off some California beach Clearing the decks After getting hight Waiting for the storm to pass Standing around picking holes in the grass Waking up in another town This is what I remember Waiting for the storm to pass Waiting around with idle eyes Waking up in another town This is what I remember Someone said ""Smile"" and I turned around He pulled the trigger and I hit the ground Waking up in another town This is what I rememberSee Ride LiveGet tickets as low as $54You might also likeEmbed"
8,Cali,Weather Diaries,Ride,16-Jun-17,"3 ContributorsCali LyricsAnother Summer is on the way, Cali Another lover, the only one, Cali Formed you, I found you, pulled you, too far to catch a wave Saw you, kissed you on the beach And I was saved You look good with blue sky behind Silhouetted in the bright sunshine Burned onto my retina screen The greatest thing I've ever seen Another Summer passed like a day, Cali Speeding, spaced and tangled up in you, Cali Suddenly suntanned like cinnamon She weaves the waves, Cali I'm spellbound, stoned and dethroned And feeling brave You look good with blue sky behind Silhouetted in the bright sunshine Burned onto my retina screen The greatest thing I've ever seen Blue ocean, white water views Walking back from the beach with you 4th street steps and my life was made Sometimes I wish that we had stayed See Ride LiveGet tickets as low as $54You might also likeAnother Summer is on the way, Cali Another lover, the only one, Cali Formed you, I found you, pulled you, too far to catch a wave Saw you, kissed you on the beach And I was saved C-A-L-I, Summer is goneEmbed"
9,Integration Tape,Weather Diaries,Ride,16-Jun-17,
10,Impermanence,Weather Diaries,Ride,16-Jun-17,"3 ContributorsImpermanence LyricsImpermanence outlives you Your life will always be You've always been and you will remain I'll speed up time so you can see Look at this window pane There's no need to be afraid The glass is slowly melting And the wood just falls away There will be another Today you feel like you are nothing So unsteady on your feet But you have the strength inside you Of the trees, the rocks, the beach You're older and younger Than every burning star With a silent eye that sits behind Each day you find so hard Waiting for another I never thought this day would come I never realized our time would end But if you've got to go I want you to know That I need to say ""Thank You"" again Before the end of the world See Ride LiveGet tickets as low as $54You might also likeYou ran away but still you're with me I found you at my core Our bodies fight our battles We've already won the war She says, ""Why is everything ending?"" Because it's always been And this should make her feel better But it don't feel like a win At the end of the world This should make me feel better But it don't feel like a win At the end of the worldEmbed"
11,White Sands,Weather Diaries,Ride,16-Jun-17,"3 ContributorsWhite Sands LyricsThe breath between twenty years That same breath tonight We'll always betray ourselves Always hold back time The breath between better days We came the long way round Awakening to be ourselves We died at least once to save our ground Always forever change I wish some things could stay the same I've been thinking of back in time I never knew what was mine- Illusions, Illusions The waves are rocking the winds to rest Lost in our landscapes When we're at our best Breathe in and inspire me Make these our finest hours Time waits for no man What's left behind is oursSee Ride LiveGet tickets as low as $54You might also likeEmbed"
